SiteID	Country	Latitude	Longitude	SiteName	C14ID	X7	Period	PhaseCode	LabCode	C14BP	C14SD	Material	MaterialSpecies	Culture	Reliability	tpq	taq	select	FN	RedNeo	bib	bib_url	inTime	inSpace
	France	46.75055157	5.50962943	A Daupharde		OP	LM	Layer R1	OxA-5642 (Ly-172)	6760	80	F	Bone (unidentified)	Méso récent jurassien				NET			Séara et al. 2002	Seara02	1	1
	France	46.75055157	5.50962943	A Daupharde		OP	MN	n/a	OxA-6541 (Ly-171)	5790	120	F	n/a		LOW			NET			Séara et al. 2002	Seara02	1	1
	France	46.75055157	5.50962943	A Daupharde		OP	LM	Layer R1	OxA-6775 (Ly-382)	7960	90	F	n/a	Méso récent jurassien				NET			Séara et al. 2002	Seara02	1	1
	France	46.75055157	5.50962943	A Daupharde		OP	LM	Layer R1	OxA-6776 (Ly-381)	7650	160	F	Bone (unidentified)	Méso récent jurassien	LOW			NET			Séara et al. 2002	Seara02	1	1
	France	46.75055157	5.50962943	A Daupharde		OP	LM	Layer R1	OxA-6777 (Ly-380)	6560	75	F	Bone (unidentified)	Méso récent jurassien				NET			Séara et al. 2002	Seara02	1	1
	France	46.75055157	5.50962943	A Daupharde		OP	MM	LayerR3-R2	Ly-7362	5855	55	SD	"Sediment, tuff"	Sauveterrien				NET			Séara et al. 2002	Seara02	1	1
	France	46.75055157	5.50962943	A Daupharde		OP	MM	LayerR3-R2	Ly-7356	5625	55	WC	n/a	Sauveterrien				NET			Séara et al. 2002	Seara02	1	1
	France	42.5667	8.75	A Revellata 1		OP	EN	Layer III	Ly-6085	6280	75	n/a	n/a	Linear Incised Ware	LOW			NET			Manen & Sabatier 2003	10.3406/bspf.2003.12868	1	1
	France	42.606	9.257	A Teppa di U Lupinu		GR	MN	US 16	Ly-13549	7435	80	F	Burnt micromammal bones	Poinçonné	MEDIUM			NET			Salotti 2008	10.3409/azc.51a_1-2.15-34	1	1
	France	42.606	9.257	A Teppa di U Lupinu		GR	MN	US 16	Ly-13550	5795	35	WC	n/a	Poinçonné	LOW			NET			Salotti 2008	10.3409/azc.51a_1-2.15-34	1	1
	France	45.353781	5.886567	Abri 1 de l'Aulp-du-Seuil		RK	EN	Layer 1 	Ly-7092	5690	115	F	Bone (unidentified)	Early/Middle Neolithic	MEDIUM			NET			Shennan & Steele 2000	Shennan00	1	1
	France	45.353781	5.886567	Abri 1 de l'Aulp-du-Seuil		RK	MN	Layer 1	Ly-8635 	5490	45	WC	Wood charcoal (unidentified)	Middle Neolithic	lOW			NET			Shennan & Steele 2000	Shennan00	1	1
	France	45.353781	5.886567	Abri 3 de l'Aulp-du-Seuil		RK	LMEN	Layer 2-3	Ly-7096 	5675	120	F	Bone (unidentified)	n/a	LOW			NET			Shennan & Steele 2000	Shennan00	1	1
	France	43.5348	5.0052	Abri Cornille		RK	MM	C4-8	Ly-868	7000	130	WC	Wood charcoal (unidentified)	Montadien	LOW			NET			Evin et al. 1973	Evin73	1	1
	France	41.392912	9.165806	Abri d'Araguina-Sennola		RK	EN	Layer XVII	Gif-2324	6430	140	WC	Wood charcoal (unidentified)	Thyrrenian Cardial	LOW			NET			Lanfranchi 1972	Lanfranchi72	1	1
	France	41.392912	9.165806	Abri d'Araguina-Sennola		RK	EN	Layer XVII	Gif-2325	6650	140	WC	Wood charcoal (unidentified)	Thyrrenian Cardial	LOW			NET			Lanfranchi 1972	Lanfranchi72	1	1
	Swiss	46.29723388	6.91095377	Abri de Châble-Croix		RK	EM	Layer 2	B-4978	7410	100	n/a	n/a	Mesolithic	LOW			BDA			Crotti & Pignat 1988	Crotti88	1	1
