"SiteName"	"Country"	"Period"	"PhaseCode"	"LabCode"	"C14Age"	"C14SD"	"Material"	"MaterialSpecies"	"tpq"	"taq"	"Longitude"	"Latitude"	"bib"	"bib_url"
"Mondeval de Sora"	"Italy"	"LM"	"Burial"	"OxA-7468"	7425	55	"bone (human)"	"Homo sapiens"	-6061	-6463	12.094987	46.464837	"Oxilia et al. 2020"	"https://doi.org/10.1002/ajpa.24128"
"Cova Gran"	"Spain"	"EN"	"E9"	"Beta-265982"	6020	50	"plant seed"	"Corylus avellana"	-4708	-5212	0.811061	41.925881	"Mora et al. 2011"	"https://doi.org/10.1002/jqs.1486"
"Cova del Frare"	"Spain"	"EN"	"c6"	"Beta-436332"	6150	40	"fauna"	"Sus sp."	-4851	-5303	2.019095	41.637334	"Navarrete et al., 2017"	"https://doi.org/10.1002/oa.2598"
"Cova del Frare"	"Spain"	"EN"	"c5"	"Beta-325687"	6020	40	"fauna"	"Ovis aries"	-4721	-5205	2.019095	41.637334	"Navarrete et al., 2017"	"https://doi.org/10.1002/oa.2598"
"Cubio Redondo"	"Spain"	"LM"	"Layer 6, Sector 9, Q: 11B"	"Beta-106050"	6630	50	"fauna"	"Cervus sp."	-5383	-5720	-3.584533	43.313609	"Gutiérrez-Zugasti 2011"	"https://doi.org/10.1007/978-1-4419-8219-3_8"
"Cubio Redondo"	"Spain"	"LM"	"Layer 6, Sector 4, Q: 10A"	"Beta-106049"	5780	50	"wood charcoal"	"Wood charcoal (unidentified)"	-4404	-4840	-3.584533	43.313609	"Gutiérrez-Zugasti 2011"	"https://doi.org/10.1007/978-1-4419-8219-3_8"
"Oullins"	"France"	"EN"	"C6A"	"AA-53296"	6191	63	"fauna"	"Capra hircus"	-4837	-5460	4.45694345	44.34232607	"García-Puchol & Salazar-Garcia 2017"	"https://doi.org/10.1007/978-3-319-52939-4"
"Lombard"	"France"	"EN"	"C5A"	"Ly-4157 (SacA-7414)"	6165	35	"fauna"	NA	-4937	-5303	6.8501	43.7	"García-Puchol & Salazar-Garcia 2017"	"https://doi.org/10.1007/978-3-319-52939-4"
"Oullins"	"France"	"EN"	"C6B"	"AA-53291"	6233	64	"fauna"	"Capra hircus"	-4851	-5471	4.45694345	44.34232607	"García-Puchol & Salazar-Garcia 2017"	"https://doi.org/10.1007/978-3-319-52939-4"
"Oullins"	"France"	"EN"	"C5"	"AA-53293"	6168	63	"fauna"	"Capra hircus"	-4799	-5367	4.45694345	44.34232607	"García-Puchol & Salazar-Garcia 2017"	"https://doi.org/10.1007/978-3-319-52939-4"
"Oullins"	"France"	"EN"	"C5"	"AA-53292"	6210	69	"fauna"	"Capra hircus"	-4836	-5470	4.45694345	44.34232607	"García-Puchol & Salazar-Garcia 2017"	"https://doi.org/10.1007/978-3-319-52939-4"
